# klaverjas spoor; spellen=200; zaad=6
24;6;3;2;3;7;53
24;7;0;1;0;A;56
24;7;1;4;3;A;53
24;7;2;3;3;H;53
24;7;3;2;3;9;53
24;8;0;3;2;H;9
24;8;1;4;1;7;53
24;8;2;1;2;B;36
24;8;3;2;3;V;53
24;=;0;118;34;30;0
25;1;0;2;3;7;7
25;1;1;3;3;H;40
25;1;2;4;3;9;6
25;1;3;1;3;8;38
25;2;0;2;0;A;8
25;2;1;3;0;V;34
25;2;2;4;2;8;53
25;2;3;1;0;7;3
25;3;0;2;3;A;58
25;3;1;3;1;9;53
25;3;2;4;2;9;53
25;3;3;1;2;7;53
25;4;0;4;3;T;55
25;4;1;3;0;8;53
25;4;2;2;3;B;66
25;4;3;1;1;8;53
25;5;0;2;3;V;56
25;5;1;3;1;B;53
25;5;2;4;2;B;53
25;5;3;1;1;H;53
25;6;0;4;2;V;13
25;6;1;3;0;H;53
25;6;2;2;2;H;4
